,as.factor(sample_cluster),n,mean,sd,min,Q1,median,Q3,max
Prevotella_bivia.1,1,185,41625,127070,2811,6578,12798,30832,1425050
Prevotella_bivia.2,2,125,124104,309808,2539,12403,37238,91443,2418223
Prevotella_bivia.3,3,62,64623,121896,3336,9485,20190,47440,651658
Prevotella_corporis,1,26,58273,93054,8384,12371,21784,58398,446609
Prevotella_disiens.1,1,44,117422,187240,11622,18546,40347,136539,934652
Prevotella_disiens.2,2,56,71632,107053,9451,25542,37619,62590,695156
Prevotella_melaninogenica,1,82,74753,128742,2756,10056,25511,79162,656212
Prevotella_sp000479005.1,1,28,44562,32386,10742,22934,33294,53942,144735
Prevotella_sp000479005.2,2,16,82290,99969,11321,22042,35116,125199,365310
Prevotella_sp000479005.3,3,16,50793,54732,7661,15769,38823,48052,224121
Prevotella_sp000479005.4,4,11,45692,36066,12946,20293,39287,57502,137457
Prevotella_sp000758925.1,1,139,87084,126841,3168,14528,35867,119087,830238
Prevotella_sp000758925.2,2,105,93719,151468,4161,14891,39284,101047,916400
Prevotella_sp000758925.3,3,54,87457,138376,4304,14084,35675,104460,708644
Prevotella_sp000758925.4,4,49,92242,155617,5406,12060,38494,120897,920446
Prevotella_sp001552765,1,29,43057,55319,5366,11965,21745,42922,226731
Prevotella_spNov3.1,1,255,120862,172837,3573,24551,66556,138544,1611866
Prevotella_spNov3.2,2,210,159324,281239,4500,29042,87197,165490,2642246
Prevotella_timonensis.1,1,228,44077,61166,3781,14650,23544,47106,427952
Prevotella_timonensis.2,2,144,75104,133548,3577,12518,27748,78190,982084
Prevotella_timonensis.3,3,87,63537,80470,4312,15458,38644,71493,410520
Prevotella_timonensis.4,4,56,235992,199013,6358,94930,163645,321739,895454
Prevotella_timonensis.5,5,25,98637,142643,4994,20373,52119,119608,668546
Prevotella_timonensis.6,6,22,79972,79552,4700,15590,46371,138664,280608
Prevotella_timonensis.7,7,14,129628,149865,10046,22896,36302,204924,482709
Prevotella_timonensis.8,8,11,620230,436560,89758,233480,802122,865745,1449305
Prevotella_timonensis.9,9,11,149488,105184,61483,70851,101756,202020,393354
Propionimicrobium_lymphophilum,1,41,15457,22072,1962,3551,6363,15334,109491
Pseudoglutamicibacter_albus,1,38,23959,42660,2374,4822,8060,19156,212751
Slackia_exigua,1,25,8486,14323,2304,3170,3922,6347,72978
Sneathia_sanguinegens.1,1,221,25310,36674,1784,5874,13387,29045,295122
Sneathia_sanguinegens.2,2,69,6219,9782,1802,2505,3633,5570,69685
Sneathia_sanguinegens.3,3,67,18285,19897,1904,4854,11594,23807,102302
Sneathia_sanguinegens.4,4,46,24012,58802,1593,4925,8811,19048,379778
Sneathia_sanguinegens.5,5,28,24167,25429,2592,7934,14669,31255,104121
Sneathia_sanguinegens.6,6,24,47640,62111,2963,9330,30306,50992,269933
Sneathia_sanguinegens.7,7,22,21919,19823,2430,7880,14269,31304,73428
