sampleID,Project
MG_174982,Symptoms
MG_175034,Symptoms
MG_175058,Symptoms
MG_175074,Symptoms
MG_175228,Gates-UMD
MG_175260,Gates-UMD
MG_175318,Symptoms
MG_175332,Gates-UMD
MG_175334b,Symptoms
MG_175380,Gates-UMD
MG_175390,Symptoms
MG_175414,Symptoms
MG_175443,Symptoms
MG_175476,Gates-UMD
MG_175831b,Symptoms
MG_175836,Gates-UMD
MG_175878,Symptoms
MG_175896,Gates-UMD
MG_175980,Gates-UMD
MG_176020,Gates-UMD
MG_176076,Gates-UMD
MG_176094,Symptoms
MG_176118,Symptoms
MG_176138,Symptoms
MG_176541,Symptoms
MG_176565,Symptoms
MG_176573,Symptoms
MG_176621,Symptoms
MG_176621_b,Symptoms
MG_176747,Gates-UMD
MG_176795,Gates-UMD
MG_176862,Symptoms
MG_176873,Symptoms
MG_176887,Gates-UMD
MG_177065,Symptoms
MG_177093,Symptoms
MG_177129,Symptoms
MG_177177,Symptoms
MG_177694,Symptoms
MG_177707,Gates-UMD
MG_177750,Symptoms
MG_177783,Symptoms
MG_177847,Gates-UMD
MG_177853,Symptoms
MG_177877,Symptoms
MG_177883,Symptoms
MG_177897,Symptoms
MG_177947,Gates-UMD
MG_178085,Symptoms
MG_178113_b,Symptoms
MG_178137_b,Symptoms
MG_178333,Symptoms
MG_178381,Symptoms
MG_178553,Symptoms
MG_178585,Symptoms
MG_178625,Symptoms
MG_178839,Gates-UMD
MG_178903,Gates-UMD
MG_178955,Gates-UMD
MG_179165,Symptoms
MG_179189,Symptoms
MG_179205,Symptoms
MG_179229,Symptoms
MG_181071,Gates-UMD
MG_181081,Symptoms
MG_181105,Symptoms
MG_181135,Gates-UMD
MG_181145,Symptoms
MG_181153,Symptoms
MG_181177,Symptoms
MG_181185,Symptoms
MG_181198,Symptoms
MG_1811RFLQV1,XPENN
MG_181230,Symptoms
MG_181238,Symptoms
MG_181246,Symptoms
MG_181261,Symptoms
MG_1814RFLQV1,XPENN
MG_181597,Symptoms
MG_181629,Symptoms
MG_181657,Symptoms
MG_181711,Gates-UMD
MG_181775,Gates-UMD
MG_181819,Gates-UMD
MG_181871,Gates-UMD
MG_181935,Gates-UMD
MG_182339,Gates-UMD
MG_182427,Gates-UMD
MG_182447,Gates-UMD
MG_1831RFLQV1,XPENN
MG_183668,Gates-UMD
MG_183700,Gates-UMD
MG_183757,Symptoms
MG_183805,Symptoms
MG_1850RFLQV1,XPENN
MG_185190,Symptoms
MG_185218,Symptoms
MG_185238,Symptoms
MG_185251,Gates-UMD
MG_185275,Gates-UMD
MG_185347,Gates-UMD
MG_185395,Gates-UMD
MG_185475,Gates-UMD
MG_186304,Gates-UMD
MG_186360,Gates-UMD
MG_186424,Gates-UMD
MG_186472,Gates-UMD
MG_186552,Gates-UMD
MG_186655,Gates-UMD
MG_186711,Gates-UMD
MG_186783,Gates-UMD
MG_186830b,Symptoms
MG_186847,Gates-UMD
MG_186854,Symptoms
MG_186885,Symptoms
MG_186911,Gates-UMD
MG_187184,Symptoms
MG_187220,Symptoms
MG_187252,Symptoms
MG_187377,Gates-UMD
MG_187405,Gates-UMD
MG_187469,Gates-UMD
MG_187757,Symptoms
MG_188156,Symptoms
MG_188249,Gates-UMD
MG_188297,Gates-UMD
MG_188537,Symptoms
MG_188613,Symptoms
MG_1890RFLQV1,XPENN
MG_189407,Gates-UMD
MG_189534,Gates-UMD
MG_189598,Gates-UMD
MG_189662,Gates-UMD
MG_189739,Symptoms
MG_189760,Symptoms
MG_189771,Symptoms
MG_190344,Symptoms
MG_190788,Gates-UMD
MG_190852,Gates-UMD
MG_191387,Symptoms
MG_191407,Symptoms
MG_191495,Symptoms
MG_191686,Symptoms
MG_191690,Symptoms
MG_191734,Symptoms
MG_1921RFLQV1,XPENN
MG_192430,Gates-UMD
MG_192484,Symptoms
MG_192494,Gates-UMD
MG_192512,Symptoms
MG_192540,Symptoms
MG_192558,Gates-UMD
MG_192622,Gates-UMD
MG_192686,Gates-UMD
MG_193122b,Symptoms
MG_193170,Symptoms
MG_193494,Symptoms
MG_193518,Symptoms
MG_193537,Symptoms
MG_193549,Symptoms
MG_193573_b,Symptoms
MG_193837b,Symptoms
MG_193866,Gates-UMD
MG_193884,Symptoms
MG_193930,Gates-UMD
MG_193970,Gates-UMD
MG_194058,Gates-UMD
MG_194122,Gates-UMD
MG_194227,Symptoms
MG_194255,Symptoms
MG_194275,Symptoms
MG_194714,Symptoms
MG_194735b,Symptoms
MG_194758,Symptoms
MG_194945,Symptoms
MG_194993,Symptoms
